,Latitude,Longitude,Country,Objective,Wind,Solar,SolarTracking,Grid,RampDummy,Electrolysis,HydrogenCompression,HydrogenFromStorage,HB,BatteryInterfaceIn,BatteryInterfaceOut,HydrogenFuelCell,PenaltyLink,Ammonia,CompressedH2Store,Battery,AccumulatedPenalty,Hydrogen Storage (t)
-65_-2,-65,-2,None,0.34989173913668226,0.0,5552.163767099011,0.0,0.0,0.0,2084.341900614596,653.8059730791513,969.2254028740714,168.35611952783637,0.7537612847127718,0.746223671865644,92.16052021688901,1000000.0,22448.921130947503,6536.919365543042,3.73111835932822,10000000.0,165.91165902393507
-65_-1,-65,-1,None,0.34989173913668226,0.0,5552.163767099011,0.0,0.0,0.0,2084.341900614596,653.8059730791513,969.2254028740714,168.35611952783637,0.7537612847127718,0.746223671865644,92.16052021688901,1000000.0,22448.921130947503,6536.919365543042,3.73111835932822,10000000.0,165.91165902393507
-64_-2,-64,-2,None,0.3625980671422202,0.0,5779.320527002682,0.0,0.0,0.0,2150.8343983364816,666.4914569418363,1026.416128640574,174.87906155119418,0.7699634412461599,0.7622638068336982,95.75486933783073,1000000.0,30249.263473219216,6677.430947863197,4.57358284100219,10000000.0,169.47794283916744
-64_-1,-64,-1,None,0.3625980671422202,0.0,5779.320527002682,0.0,0.0,0.0,2150.8343983364816,666.4914569418363,1026.416128640574,174.87906155119418,0.7699634412461599,0.7622638068336982,95.75486933783073,1000000.0,30249.263473219216,6677.430947863197,4.57358284100219,10000000.0,169.47794283916744
-63_-2,-63,-2,None,0.33767692076215977,1078.3494598757343,2909.831611723216,0.0,0.0,0.0,1559.114466902476,309.5199103166121,405.1468475886178,151.24772790191756,0.3702478623303527,0.36654538370704914,83.35218170449807,1000000.0,18637.70690258275,3210.9375612737504,0.7330907674140983,10000000.0,81.4958771896891
-63_-1,-63,-1,None,0.33767692076215977,1078.3494598757343,2909.831611723216,0.0,0.0,0.0,1559.114466902476,309.5199103166121,405.1468475886178,151.24772790191756,0.3702478623303527,0.36654538370704914,83.35218170449807,1000000.0,18637.70690258275,3210.9375612737504,0.7330907674140983,10000000.0,81.4958771896891
-62_-2,-62,-2,None,0.31343116619286926,1252.1117264895609,1769.8084998360898,0.0,0.0,0.0,1380.4114929492787,202.81370488817595,385.6146478552636,143.95562903012114,0.3517776848250675,0.3482599079768168,79.33465153077793,1000000.0,19261.387067560023,3050.756793876915,1.0447797239304502,10000000.0,77.43037547910951
-62_-1,-62,-1,None,0.31343116619286926,1252.1117264895609,1769.8084998360898,0.0,0.0,0.0,1380.4114929492787,202.81370488817595,385.6146478552636,143.95562903012114,0.3517776848250675,0.3482599079768168,79.33465153077793,1000000.0,19261.387067560023,3050.756793876915,1.0447797239304502,10000000.0,77.43037547910951
-61_-2,-61,-2,None,0.3293110316140513,1049.6961406161793,2511.0015805099047,0.0,0.0,0.0,1606.275992672055,366.5541953929764,476.28161230648624,149.10091820218176,0.4620382343600588,0.4574178520164582,81.9929481834596,1000000.0,30965.408706487113,4006.9803836641736,0.4574178520164582,10000000.0,101.70000973766939
-61_-1,-61,-1,None,0.3293110316140513,1049.6961406161793,2511.0015805099047,0.0,0.0,0.0,1606.275992672055,366.5541953929764,476.28161230648624,149.10091820218176,0.4620382343600588,0.4574178520164582,81.9929481834596,1000000.0,30965.408706487113,4006.9803836641736,0.4574178520164582,10000000.0,101.70000973766939
-60_-2,-60,-2,None,0.30757565514321006,1422.564928140903,882.7071509182291,0.0,0.0,0.0,1309.4395789205735,106.64422482532177,614.7054252901746,148.6443274373543,0.36384784591903957,0.36020936745984916,81.91750431495227,1000000.0,43166.175091785146,3155.4340589482786,1.4408374698393966,10000000.0,80.08715885655529
-60_-1,-60,-1,None,0.30757565514321006,1422.564928140903,882.7071509182291,0.0,0.0,0.0,1309.4395789205735,106.64422482532177,614.7054252901746,148.6443274373543,0.36384784591903957,0.36020936745984916,81.91750431495227,1000000.0,43166.175091785146,3155.4340589482786,1.4408374698393966,10000000.0,80.08715885655529
