,Latitude,Longitude,Country,Objective,Wind,Solar,SolarTracking,Grid,RampDummy,Electrolysis,HydrogenCompression,HydrogenFromStorage,HB,BatteryInterfaceIn,BatteryInterfaceOut,HydrogenFuelCell,PenaltyLink,Ammonia,CompressedH2Store,Battery,AccumulatedPenalty,Hydrogen Storage (t)
-65_-80,-65,-80,None,0.30078529139797794,1173.9008123841995,1620.1678735753462,0.0,0.0,0.0,1342.1492208957031,196.570731363989,761.1215233663364,140.05308110996583,0.39855279400206917,0.39456726606204845,77.08173561316966,1000000.0,19336.023914650126,3456.4092507035443,1.5782690642481938,10000000.0,87.72612311430316
-65_-79,-65,-79,None,0.30030414896690283,1138.4034615846012,1715.5531542157905,0.0,0.0,0.0,1359.1044451519635,212.2280254194512,714.9772891070427,139.9647650576927,0.39513597584507193,0.39118461608662114,77.03887386480207,1000000.0,19151.356284760714,3426.7772369188015,1.4506058001627606,10000000.0,86.97404154616248
-65_-78,-65,-78,None,0.2996768538242847,1116.1771550658943,1747.8299388298099,0.0,0.0,0.0,1377.5838853202874,226.56880389982973,813.0129255805014,140.25261179355223,0.3909924822014473,0.38708255737943276,77.20630447083234,1000000.0,19271.39969423683,3390.843202643831,1.1994837234170932,10000000.0,86.06201021938658
-65_-77,-65,-77,None,0.3006474884270057,1129.8240429939299,1703.5277935196975,0.0,0.0,0.0,1382.224372700539,223.80787001196995,811.2377077490696,141.22198109541134,0.39363328317405094,0.3896969503423104,77.74003497322735,1000000.0,19715.83619951414,3413.745284998639,1.169090851026931,10000000.0,86.64328134514312
-65_-76,-65,-76,None,0.3019688292454453,1126.2775677372674,1745.6737341930477,0.0,0.0,0.0,1388.923693616237,225.2865045541248,882.4774714522272,141.850911275852,0.39324928457976127,0.38931679173396366,78.09012778360321,1000000.0,19176.267224812138,3410.4150955895216,1.1679503752018814,10000000.0,86.55875877130765
-65_-75,-65,-75,None,0.30330955118441144,1187.9085421870518,1508.6782008976718,0.0,0.0,0.0,1390.664410747916,213.0348006241246,950.5894668727738,143.7960417184416,0.4046828256291605,0.40063599737286887,79.14997425372731,1000000.0,19504.0805926788,3509.5713369863315,1.2019079921186182,10000000.0,89.07541464432313
-65_-74,-65,-74,None,0.303404677526832,1182.1311216012125,1531.1934789526085,0.0,0.0,0.0,1403.4706081733423,223.16997902929575,980.9540136462468,143.96773223459286,0.3936999812767051,0.389762981463938,79.26528850742153,1000000.0,19235.43035996065,3414.323717624097,1.1692889443918202,10000000.0,86.65796237624612
-65_-73,-65,-73,None,0.30410632000010746,1277.2454658425847,1230.7773893384638,0.0,0.0,0.0,1362.681588223282,181.53133912669784,1072.601104428354,144.74026637426908,0.4052252115213602,0.40117295940614656,79.67354441619543,1000000.0,19733.551302024003,3514.275124397844,1.2035188782184238,10000000.0,89.19480011162041
-65_-72,-65,-72,None,0.30493324222128987,1326.5771355407933,1074.8740667149032,0.0,0.0,0.0,1343.8889166669599,161.1438834369285,1038.4450430388003,145.26587068284186,0.41840591291757323,0.4142218537883975,79.94161633058907,1000000.0,19607.23757406854,3628.5834391863623,1.2426655613652005,10000000.0,92.09602637528839
-65_-71,-65,-71,None,0.3046070370638347,1324.3111629187295,1084.918384886429,0.0,0.0,0.0,1338.5315130391218,160.4076133755766,1087.8587317872405,144.70000551806447,0.4217201399425788,0.41750293854315296,79.62124044332727,1000000.0,18798.69454611162,3657.32574163802,1.2525088156294397,10000000.0,92.8255264375132
