,Latitude,Longitude,Country,Objective,Wind,Solar,SolarTracking,Grid,RampDummy,Electrolysis,HydrogenCompression,HydrogenFromStorage,HB,BatteryInterfaceIn,BatteryInterfaceOut,HydrogenFuelCell,PenaltyLink,Ammonia,CompressedH2Store,Battery,AccumulatedPenalty,Hydrogen Storage (t)
5_58,5,58,None,0.3342161380350074,16573.142189801343,13094.664804824031,0.0,0.0,0.0,13921.259053481144,2086.6580206267954,3574.138628487181,1445.9477641680596,2.2756862119570416,2.252929349837471,497.7401654432174,1000000.0,380908.57007422857,19735.661104576247,2.252929349837471,10000000.0,500.9051041770621
5_59,5,59,None,0.34331843193760814,17306.265478177756,12532.31212112179,0.0,0.0,0.0,14218.665228002212,2015.1322703103338,3260.8375697134666,1493.209320930819,2.563582684530284,2.5379468576849806,0.0,1000000.0,392395.95724859904,22232.41447332043,0.0,10000000.0,564.2744790182851
5_60,5,60,None,0.35541407951295645,17271.000079064885,14825.401950242962,0.0,0.0,0.0,14419.747609107342,2363.833152654347,3937.086118248007,1469.8688282664177,3.7343908586733856,3.6970469500866514,809.7931992283769,1000000.0,346845.4389831991,32386.131282759066,11.091140850259954,10000000.0,821.9830274811947
5_61,5,61,None,0.3458775396173978,16631.565524373244,14788.74289927794,0.0,0.0,0.0,13690.565454508214,4556.7817216309995,4015.521771417897,1436.749315380749,3.88200874771986,3.843188660242661,791.1260660731944,1000000.0,380982.3898173173,33666.33266372571,11.529565980727986,10000000.0,854.4754483179115
6_58,6,58,None,0.297787041194447,15349.301489679016,6753.9136454767695,0.0,0.0,0.0,12391.936336465931,1756.5121356140787,2908.2380299615197,1433.9726295632652,1.8999117937231507,1.8809126757859191,0.0,1000000.0,449983.0563973649,16476.79503988465,0.0,10000000.0,418.19276750976275
6_59,6,59,None,0.2983816228784708,15913.09336499042,5754.579365174116,0.0,0.0,0.0,12279.91600685793,1012.2980799199519,2536.148504176741,1442.0048738659652,1.4267560959109378,1.4124885349518284,0.0,1000000.0,428144.80921680125,12373.399566178017,0.0,10000000.0,314.0456742684776
6_60,6,60,None,0.29893851309088587,15726.249952396425,6217.841414547329,0.0,0.0,0.0,12179.150761918641,1871.240206201168,2793.00928167843,1406.1902634628843,2.204845929599961,2.1827974703039614,0.0,1000000.0,401908.16773997195,19121.305839862704,0.0,10000000.0,485.31233096098237
6_61,6,61,None,0.30685670879200777,15201.269061117071,8138.4474699367565,0.0,0.0,0.0,12588.736833672223,2091.1577269762665,3153.446172275769,1473.8906349102976,2.795466207898937,2.7675115458199473,17.596457440619815,1000000.0,411123.35520099744,24243.40114138274,2.7675115458199473,10000000.0,615.3147497812878
7_58,7,58,None,0.2942843889917807,15237.398445621202,5685.729279075841,0.0,0.0,0.0,11977.526145533713,2129.0158666488583,2492.9968031562785,1413.0118050579374,2.5477890769793583,2.5223111862095644,0.0,1000000.0,440299.34870683367,22095.445991195786,0.0,10000000.0,560.798121603954
7_59,7,59,None,0.29168023814219135,15233.219382947433,5075.977518527468,0.0,0.0,0.0,12156.722400159422,1691.0262262101573,2795.4755442053583,1428.3140845209248,1.9914434368619436,1.971529002493324,0.0,1000000.0,459982.7751745349,17270.59406184152,0.0,10000000.0,438.3399508081604
7_60,7,60,None,0.29107436077745774,15055.121347144886,6254.448371426638,0.0,0.0,0.0,12053.564353259886,457.8371053010742,3580.4352846665447,1442.1537718246425,1.4785843221884574,1.4637984789665728,0.0,1000000.0,433026.0763508131,12822.874675747178,0.0,10000000.0,325.45367197327863
7_61,7,61,None,0.2928455704372879,15170.72309372109,7089.770476149876,0.0,0.0,0.0,12094.525840835939,474.9337752975316,2294.6784912313997,1444.8633110049768,1.083616854346661,1.0727806858031945,0.0,1000000.0,419783.6871406669,9397.558807635984,0.0,10000000.0,238.51672100598944
8_58,8,58,None,0.2971157838631766,15122.359025333253,6275.6672297924615,0.0,0.0,0.0,12312.389643935214,1732.65370778322,3377.2942810181976,1431.6094534721183,2.5925536545231957,2.5666281179779635,0.0,1000000.0,485058.5419820393,22483.662313486962,0.0,10000000.0,570.6513277534763
8_59,8,59,None,0.30623009548696467,14483.352033118332,10144.780840567899,0.0,0.0,0.0,12904.404331063266,1502.5594186255294,5482.928940605163,1437.5576899328855,3.241995497489154,3.2095755425142625,0.0,1000000.0,457850.2939955434,28115.88175242494,0.0,10000000.0,713.6010597062168
