Hour number,Solar,Wind,SolarTracking,Grid,RampDummy
0,0,0.049338636,0,0,1
1,0,0.033520909,0,0,1
2,0,0.038543636,0,0,1
3,0,0.035305909,0,0,1
4,0,0.012471818,0,0,1
5,0,0.000911818,0,0,1
6,0,0.004257727,0,0,1
7,0,0.005146364,0,0,1
8,0,0.010972727,0,0,1
9,0.008403991,0.031380455,0,0,1
10,0.120043969,0.033072727,0,0,1
11,0.296410583,0.016374091,0,0,1
12,0.465194284,2.95E-02,0,0,1
13,0.295745982,0.033389545,0,0,1
14,0.234450944,0.058052727,0,0,1
15,0.157724345,0.094783182,0,0,1
16,0.126632691,0.144541818,0,0,1
17,0.05770577,0.215290909,0,0,1
18,0,0.286421818,0,0,1
19,0,0.340139545,0,0,1
20,0,0.552291818,0,0,1
21,0,0.540559091,0,0,1
22,0,0.484163182,0,0,1
23,0,0.580661364,0,0,1
24,0,0.50577,0,0,1
25,0,0.631750909,0,0,1
26,0,0.685919091,0,0,1
27,0,0.72755,0,0,1
28,0,0.742085,0,0,1
29,0,0.772963182,0,0,1
30,0,0.819617273,0,0,1
31,0,0.781120455,0,0,1
32,0,0.795218636,0,0,1
33,0.000476993,0.844692727,0,0,1
34,0.05741402,0.843240909,0,0,1
35,0.072487495,0.762693182,0,0,1
36,0.061863431,0.823256364,0,0,1
37,0.149476061,0.639088182,0,0,1
38,0.167531922,0.768489091,0,0,1
39,0.193742862,0.728260455,0,0,1
40,0.171232896,0.655844091,0,0,1
41,0.081677168,0.654864545,0,0,1
42,0,0.697584545,0,0,1
43,0,0.750369091,0,0,1
44,0,0.603114091,0,0,1
45,0,0.632788182,0,0,1
46,0,0.674008182,0,0,1
47,0,0.690616364,0,0,1
48,0,0.605993636,0,0,1
49,0,0.382828182,0,0,1
50,0,0.354494091,0,0,1
51,0,0.430430909,0,0,1
52,0,0.498615909,0,0,1
53,0,0.283391818,0,0,1
54,0,0.292061818,0,0,1
55,0,0.475223636,0,0,1
56,0,0.401368636,0,0,1
57,0,0.25121,0,0,1
58,0.178524771,0.116672273,0,0,1
59,0.134707635,0.241975,0,0,1
60,0.084631985,0.35454,0,0,1
61,0.080125378,0.456505,0,0,1
62,0.078562459,0.386041364,0,0,1
63,0.067322278,0.340485,0,0,1
64,0.128349675,0.403633636,0,0,1
65,0.123046858,0.504628636,0,0,1
66,0,0.628155455,0,0,1
67,0,0.382070909,0,0,1
68,0,0.440500909,0,0,1
69,0,0.170232727,0,0,1
70,0,0.182554091,0,0,1
